epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.014,2.33165,2.84531,2.82418,0.0241,0.37597,0.01407,0.00299,2.85645,5.73174,3.93473,0.0700508,0.00332768,0.00332768
2,329.96,1.95256,2.53632,2.40067,0.17567,0.2881,0.13404,0.03805,2.22395,3.04511,2.82973,0.0400289,0.00663904,0.00663904
3,484.386,1.84886,2.45412,2.28303,0.25197,0.33815,0.19702,0.05432,2.26388,2.67449,2.71236,0.00998488,0.00992839,0.00992839
4,638.364,1.77745,2.3678,2.22122,0.26683,0.2614,0.19644,0.06257,2.1004,2.78203,2.63882,0.009901,0.009901,0.009901
5,792.384,1.71858,2.29227,2.18004,0.31061,0.34149,0.24586,0.08084,2.03329,2.51003,2.54637,0.009868,0.009868,0.009868
6,946.281,1.68033,2.23499,2.14019,0.33123,0.3337,0.27369,0.09108,2.01771,2.4515,2.49645,0.009835,0.009835,0.009835
7,1100.45,1.66348,2.21694,2.12431,0.41169,0.41824,0.34726,0.12614,1.95427,2.44095,2.44389,0.009802,0.009802,0.009802
8,1254.48,1.64616,2.1937,2.09934,0.38779,0.40443,0.32268,0.11711,1.95285,2.37521,2.46658,0.009769,0.009769,0.009769
9,1408.83,1.63085,2.16545,2.09137,0.38868,0.39377,0.33817,0.11917,2.00873,2.30045,2.53417,0.009736,0.009736,0.009736
10,1563.12,1.61237,2.14273,2.07954,0.34808,0.38821,0.27983,0.09421,2.07609,2.40506,2.64696,0.009703,0.009703,0.009703
11,1717.44,1.59349,2.1285,2.05714,0.48651,0.45495,0.42872,0.14834,1.92896,2.16039,2.42512,0.00967,0.00967,0.00967
12,1871.67,1.5791,2.09483,2.0528,0.41912,0.44945,0.3912,0.15239,1.88335,2.07415,2.41606,0.009637,0.009637,0.009637
13,2025.99,1.58911,2.09496,2.0461,0.35754,0.39933,0.30753,0.12157,1.79797,2.2628,2.32214,0.009604,0.009604,0.009604
14,2180.31,1.57645,2.05412,2.03599,0.40218,0.3871,0.33787,0.12516,2.02891,2.22578,2.50215,0.009571,0.009571,0.009571
15,2334.82,1.56877,2.06778,2.03083,0.47009,0.44828,0.4379,0.16723,1.94875,2.19408,2.46719,0.009538,0.009538,0.009538
16,2488.81,1.55227,2.02501,2.00998,0.45509,0.46941,0.42453,0.16212,1.91258,2.11247,2.3773,0.009505,0.009505,0.009505
17,2643.11,1.54724,2.04141,2.00898,0.49187,0.45717,0.43693,0.16175,2.04033,2.117,2.54539,0.009472,0.009472,0.009472
18,2797.38,1.52341,2.00286,1.98902,0.44003,0.47608,0.4436,0.1864,1.75744,2.08896,2.22841,0.009439,0.009439,0.009439
19,2951.66,1.52712,1.99425,1.9769,0.48023,0.51057,0.46336,0.1845,1.89002,1.94955,2.38595,0.009406,0.009406,0.009406
20,3106.08,1.52046,1.97744,1.97514,0.52555,0.47275,0.46297,0.1964,1.80906,1.99088,2.27913,0.009373,0.009373,0.009373
21,3260.43,1.51867,1.97043,1.96208,0.53562,0.51063,0.51417,0.19848,1.90468,1.9463,2.38645,0.00934,0.00934,0.00934
22,3414.93,1.50393,1.95496,1.95048,0.4563,0.4229,0.39552,0.17275,1.85326,2.24433,2.29171,0.009307,0.009307,0.009307
23,3569.18,1.50026,1.93966,1.94909,0.49871,0.51947,0.48075,0.18961,1.93973,2.01521,2.39081,0.009274,0.009274,0.009274
24,3723.57,1.4928,1.92955,1.94515,0.5299,0.50612,0.50205,0.1952,1.95287,1.86792,2.39886,0.009241,0.009241,0.009241
25,3878.02,1.49573,1.92888,1.93872,0.54067,0.52372,0.52292,0.21358,1.87681,1.83907,2.30567,0.009208,0.009208,0.009208
26,4032.44,1.48246,1.90188,1.92961,0.52768,0.54727,0.5201,0.21897,1.77521,1.94671,2.23607,0.009175,0.009175,0.009175
27,4186.96,1.49123,1.88776,1.93279,0.57352,0.53504,0.54581,0.22354,1.85431,1.80333,2.28414,0.009142,0.009142,0.009142
28,4341.22,1.47896,1.8904,1.92704,0.5297,0.55284,0.55365,0.22806,1.87343,1.77972,2.29405,0.009109,0.009109,0.009109
29,4495.66,1.47082,1.87415,1.92532,0.55682,0.55284,0.53634,0.21891,1.86089,1.80844,2.27128,0.009076,0.009076,0.009076
30,4649.9,1.4746,1.86707,1.9205,0.59587,0.59956,0.59889,0.25261,1.80462,1.74703,2.25695,0.009043,0.009043,0.009043
31,4804.21,1.48422,1.88007,1.93169,0.57136,0.53949,0.54114,0.22022,1.85937,1.84119,2.32417,0.00901,0.00901,0.00901
32,4958.59,1.46025,1.85508,1.90952,0.58062,0.57903,0.5957,0.25106,1.75374,1.80567,2.19123,0.008977,0.008977,0.008977
33,5112.83,1.46346,1.8769,1.91108,0.52935,0.56396,0.53936,0.2186,1.89403,1.81958,2.34772,0.008944,0.008944,0.008944
34,5266.95,1.47464,1.86352,1.91672,0.5884,0.57508,0.60132,0.25655,1.82954,1.69872,2.25064,0.008911,0.008911,0.008911
