epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.893,2.31834,2.91872,2.89716,0.05833,0.23137,0.03393,0.00876,2.46872,3.42273,3.08241,0.0700508,0.00332768,0.00332768
2,330.994,1.93106,2.5514,2.48058,0.06482,0.1535,0.03131,0.00807,2.39983,3.89026,3.20747,0.0400289,0.00663904,0.00663904
3,485.49,1.80038,2.48149,2.36506,0.26919,0.32147,0.1976,0.06432,2.08962,2.86807,2.7745,0.00998488,0.00992839,0.00992839
4,639.654,1.74242,2.37952,2.30034,0.31925,0.34038,0.2496,0.09084,2.03517,2.51821,2.64391,0.009901,0.009901,0.009901
5,793.742,1.70188,2.30211,2.2561,0.29988,0.3337,0.24094,0.07809,2.14225,2.69616,2.87305,0.009868,0.009868,0.009868
6,947.685,1.65807,2.23784,2.19265,0.34491,0.33325,0.27807,0.08787,2.02046,2.45132,2.62731,0.009835,0.009835,0.009835
7,1102.13,1.62781,2.20775,2.16752,0.23238,0.36772,0.19368,0.06293,1.98611,2.81407,2.68216,0.009802,0.009802,0.009802
8,1256.25,1.62979,2.16928,2.15129,0.35061,0.41935,0.3323,0.1188,1.91935,2.34128,2.5694,0.009769,0.009769,0.009769
9,1410.58,1.60186,2.13883,2.1322,0.39575,0.40267,0.35111,0.12706,1.97969,2.25741,2.61014,0.009736,0.009736,0.009736
10,1564.91,1.58898,2.10918,2.13002,0.4063,0.35595,0.33243,0.12968,1.92364,2.32101,2.49548,0.009703,0.009703,0.009703
11,1719.32,1.57021,2.08156,2.09755,0.40755,0.44494,0.37996,0.12772,1.92884,2.30457,2.55263,0.00967,0.00967,0.00967
12,1873.55,1.55825,2.04055,2.08797,0.46171,0.44938,0.4399,0.17175,1.91497,2.07287,2.47757,0.009637,0.009637,0.009637
13,2027.87,1.5561,2.04627,2.0859,0.3329,0.37931,0.30904,0.11981,1.79242,2.31434,2.37151,0.009604,0.009604,0.009604
14,2182.19,1.55035,2.01056,2.08134,0.5102,0.52058,0.48346,0.18752,1.88506,2.12952,2.4555,0.009571,0.009571,0.009571
15,2336.67,1.53424,2.00617,2.07402,0.43542,0.48727,0.41383,0.15478,1.94759,2.11328,2.52842,0.009538,0.009538,0.009538
16,2490.67,1.52975,1.97928,2.06006,0.48111,0.51724,0.46193,0.17874,1.85418,2.15904,2.43083,0.009505,0.009505,0.009505
17,2644.99,1.53382,1.98546,2.065,0.4352,0.45829,0.40839,0.15363,1.94169,2.08233,2.53496,0.009472,0.009472,0.009472
18,2799.36,1.49307,1.93981,2.0387,0.49662,0.48165,0.4623,0.19949,1.80439,1.96893,2.36787,0.009439,0.009439,0.009439
19,2953.54,1.50848,1.95225,2.04119,0.51681,0.51502,0.49368,0.199,1.86885,1.96217,2.4671,0.009406,0.009406,0.009406
20,3107.99,1.49831,1.9144,2.04186,0.3211,0.39933,0.30358,0.13111,1.77788,2.46325,2.32065,0.009373,0.009373,0.009373
21,3262.44,1.50299,1.91151,2.02799,0.50307,0.53828,0.52328,0.22731,1.7815,1.85859,2.32638,0.00934,0.00934,0.00934
22,3416.87,1.49168,1.91017,2.01402,0.46028,0.44383,0.43876,0.18482,1.76952,2.01845,2.30278,0.009307,0.009307,0.009307
23,3571.2,1.48491,1.89161,2.0133,0.51509,0.55653,0.5348,0.22749,1.85677,1.86511,2.36835,0.009274,0.009274,0.009274
24,3725.64,1.47667,1.88451,2.00744,0.56022,0.57286,0.5693,0.24061,1.83258,1.84812,2.38967,0.009241,0.009241,0.009241
25,3880.1,1.47804,1.87327,1.9914,0.56699,0.54171,0.58621,0.25467,1.77568,1.74092,2.29016,0.009208,0.009208,0.009208
26,4034.52,1.46927,1.85974,1.99788,0.58758,0.53949,0.56312,0.2381,1.78366,1.86837,2.33706,0.009175,0.009175,0.009175
27,4188.92,1.46717,1.81911,1.98357,0.60074,0.57953,0.58695,0.25489,1.80955,1.76373,2.35755,0.009142,0.009142,0.009142
28,4343.25,1.46119,1.84302,1.97405,0.55827,0.51724,0.53189,0.20812,1.89499,1.85339,2.46958,0.009109,0.009109,0.009109
29,4497.7,1.45814,1.82877,1.97459,0.60924,0.59138,0.60534,0.26683,1.72452,1.72162,2.24399,0.009076,0.009076,0.009076
30,4651.86,1.44978,1.80972,1.96621,0.57405,0.58464,0.58932,0.26581,1.7251,1.73437,2.26008,0.009043,0.009043,0.009043
31,4806.23,1.45907,1.80902,1.96168,0.62425,0.51279,0.55885,0.22432,1.93886,1.76086,2.46836,0.00901,0.00901,0.00901
32,4960.54,1.44196,1.79227,1.95141,0.59244,0.56917,0.60616,0.28696,1.71275,1.70873,2.21336,0.008977,0.008977,0.008977
33,5115.11,1.4492,1.78195,1.94446,0.64532,0.62069,0.65037,0.28612,1.79831,1.65426,2.3029,0.008944,0.008944,0.008944
